X_mm,Y_mm,index,kind,diameter_mm
0.0,0.0,0,small,5.0
25.0,0.0,1,small,5.0
50.0,0.0,2,small,5.0
75.0,0.0,3,small,5.0
100.0,0.0,4,small,5.0
125.0,0.0,5,small,5.0
0.0,25.0,6,small,5.0
25.0,25.0,7,small,5.0
50.0,25.0,8,small,5.0
75.0,25.0,9,small,5.0
100.0,25.0,10,small,5.0
125.0,25.0,11,small,5.0
0.0,50.0,12,small,5.0
25.0,50.0,13,small,5.0
50.0,50.0,14,small,5.0
75.0,50.0,15,small,5.0
100.0,50.0,16,small,5.0
125.0,50.0,17,small,5.0
0.0,75.0,18,small,5.0
25.0,75.0,19,small,5.0
50.0,75.0,20,small,5.0
100.0,75.0,21,small,5.0
125.0,75.0,22,small,5.0
0.0,100.0,23,small,5.0
25.0,100.0,24,small,5.0
50.0,100.0,25,small,5.0
75.0,100.0,26,small,5.0
100.0,100.0,27,small,5.0
125.0,100.0,28,small,5.0
0.0,125.0,29,small,5.0
25.0,125.0,30,small,5.0
50.0,125.0,31,small,5.0
75.0,125.0,32,small,5.0
100.0,125.0,33,small,5.0
125.0,125.0,34,small,5.0
0.0,150.0,35,small,5.0
25.0,150.0,36,small,5.0
50.0,150.0,37,small,5.0
75.0,150.0,38,small,5.0
100.0,150.0,39,small,5.0
125.0,150.0,40,small,5.0
70.6,61.8,41,big,8.0
58.4,61.8,42,big,8.0
70.6,74.6,43,big,8.0
58.4,86.3,44,big,8.0
